station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude
15154104,7270,Lane Cove Road,Lane Cove Road,Coxs Road,Ryde,North Ryde,2113.0,Tirtl,-33.793304,151.119659
56801,25001,Liverpool Road,Liverpool Road,Elizabeth Street,Ashfield,Summer Hill,2130.0,Trafficorder Loop Counter,-33.889008,151.133102
57361,7171RLC,City-West Link Road,City-West Link Road,Timbrell Drive,Ashfield,Haberfield,2045.0,Tirtl,-33.870773,151.142013
57314,70150,Blacktown Road,Blacktown Road,Lancelot Street,Blacktown,Seven Hills,2147.0,Trafficorder Loop Counter,-33.791531,150.919113
57297,69205,Balmoral Street,Balmoral Street,Kildare Road,Blacktown,Blacktown,2148.0,Trafficorder Dual Tube Classifier,-33.767948,150.904663
55406,02393,Crown Street,Crown Street,William Street,Sydney,Darlinghurst,2010.0,Trafficorder Loop Counter,-33.874722,151.216217
56950,42001,Alfords Point Road,Alfords Point Road,Snow Gum Place,Bankstown,Padstow Heights,2211.0,Excel Ll,-33.977142,151.030533
56745,23002,East Freeway,M5 East Freeway,General Holmes Drive,Rockdale,Mascot,2020.0,Trafficorder Loop Counter,-33.946026,151.172195
57183,60046,Orange Grove Road,Orange Grove Road,Links Avenue,Liverpool,Liverpool,2170.0,Trafficorder Loop Counter,-33.904961,150.917831
56778,24014,Canterbury Road,Canterbury Road,Sproule Street,Canterbury,Roselands,2196.0,Trafficorder Loop Counter,-33.928268,151.077286
58892,SHB,Sydney Harbour Bridge,Bradfield Highway,Hickson Road,North Sydney,Milsons Point,2061.0,Tirtl,-33.852295,151.210846
57017,49025,Parramatta Road,Parramatta Road,Marsh Street,Parramatta,Clyde,2142.0,Tirtl,-33.832642,151.016739
57060,50385,Church Street,Church Street,Daking Street,Parramatta,North Parramatta,2151.0,Trafficorder Loop Counter,-33.794579,151.000626
56980,43246,Davies Road,Davies Road,Alma Road,Bankstown,Padstow,2211.0,Trafficorder Loop Counter,-33.961929,151.037201
56974,43237,Fairford Road,Fairford Road,South Western Motorway,Bankstown,Padstow,2211.0,Trafficorder Dual Tube Classifier,-33.939327,151.035797
57055,50374,Pennant Hills Road,Pennant Hills Road,Sutherland Road,Parramatta,North Parramatta,2151.0,Trafficorder Loop Counter,-33.795948,151.012634
57048,50232,Marsden Road,Marsden Road,Farnell Street,Parramatta,Ermington,2115.0,Excel Lpl,-33.802933,151.066223
55357,02277,Lee Street,Lee Street,Little Regent Street,Sydney,Chippendale,2008.0,Trafficorder Loop Counter,-33.884666,151.203171
56984,44026,Canterbury Road,Canterbury Road,Milperra Road,Bankstown,Revesby,2212.0,Trafficorder Dual Tube Classifier,-33.938198,151.019394
55386,02380,Pyrmont Street,Pyrmont Street,Murray Street,Sydney,Pyrmont,2009.0,Trafficorder Loop Counter,-33.872505,151.196762
57441,74230,Pennant Hills Road,Pennant Hills Road,Terra Street,Hornsby,Thornleigh,2120.0,Excel Pp,-33.724735,151.086151
56949,41154,Stoney Creek Road,Stoney Creek Road,Illawarra Parade,Hurstville,Beverly Hills,2209.0,Trafficorder Loop Counter,-33.951763,151.088257
