station_key,station_id,name,road_name,intersection,lga,suburb,post_code,wgs84_latitude,wgs84_longitude,poi_food_count_500m,poi_education_count_500m,poi_healthcare_count_500m,poi_public_transport_count_500m,poi_leisure_count_500m,poi_tourism_count_500m,poi_shop_count_500m,poi_data_missing
57042,50207,Victoria Road,Victoria Road,Bridge Street,Parramatta,Parramatta,2150.0,-33.809143,151.025696,14,3,0,14,96,19,7,False
56776,24008,King Georges Road,King Georges Road,The Boulevarde,Canterbury,Wiley Park,2195.0,-33.922554,151.068237,1,3,0,9,10,0,1,False
15286001,7121,South Dowling Street,South Dowling Street,Eastern Distributor,Sydney,Surry Hills,2010.0,-33.886032,151.218079,62,5,2,15,41,14,40,False
57430,74202,Pacific Highway,Pacific Highway,Mills Avenue,Hornsby,Asquith,2077.0,-33.684055,151.110504,3,2,1,13,25,0,1,False
17126149,7120,South Dowling Street,South Dowling Street,Fitzroy Street,Sydney,Surry Hills,2010.0,-33.886311,151.217911,58,4,2,13,40,14,40,False
57102,52040,Epping Road,Epping Road,Rivett Road,Ryde,North Ryde,2113.0,-33.798531,151.138992,4,1,0,11,12,8,2,False
56863,32039,River Road,River Road,Fleming Street,Lane Cove,Lane Cove,2066.0,-33.825085,151.178818,0,1,0,16,12,2,0,False
57050,50234,Victoria Road,Victoria Road,Myrtle Street,Parramatta,Rydalmere,2116.0,-33.812046,151.039719,4,1,0,16,11,0,2,False
55348,02243,Eastern Distributor,Eastern Distributor,Flinders Street,Sydney,Darlinghurst,2010.0,-33.884388,151.217804,95,4,8,23,35,25,64,False
15934010,T0298,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,-33.617626,150.274033,0,0,0,0,0,0,0,True
57011,49001,Parramatta Road,Parramatta Road,Marsh Street,Parramatta,Granville,2142.0,-33.832489,151.016388,4,0,0,32,21,0,3,False
56753,23032,Forest Road,Forest Road,Bayview Street,Rockdale,Bexley,2207.0,-33.947483,151.12796,1,2,0,31,7,0,7,False
56837,28121,Western Motorway,Western Motorway,Homebush Bay Drive,Strathfield,Homebush West,2140.0,-33.85783,151.070923,8,1,0,0,21,2,8,False
56762,23067,Marsh Street,Marsh Street,Rockwell Avenue,Rockdale,Arncliffe,2205.0,-33.934475,151.15831,2,0,0,2,37,5,1,False
57434,74218,Pennant Hills Road,Pennant Hills Road,Frith Avenue,Hornsby,Wahroonga,2076.0,-33.720676,151.10527,0,1,0,11,15,0,0,False
56885,34001,Spit Road,Spit Road,Manly Road,Mosman,Middle Harbour,2087.0,-33.803474,151.246109,3,0,0,8,49,3,1,False
57440,74229,Beecroft Road,Beecroft Road,Old Beecroft Road,Hornsby,Cheltenham,2119.0,-33.760658,151.07962,0,0,0,4,99,1,0,False
57135,55030,Pittwater Road,Pittwater Road,Lismore Avenue,Warringah,Dee Why,2099.0,-33.747414,151.290802,1,3,0,14,8,1,6,False
57318,71014,Great Western Highway,Great Western Highway,Hewitt Street,Penrith,Oxley Park,2760.0,-33.776749,150.803101,0,0,0,0,0,0,0,True
57034,50054,Windsor Road,Windsor Road,Lombard Street,Parramatta,Northmead,2152.0,-33.788662,150.995102,4,2,2,6,10,0,11,False
56895,36001,Princes Highway,Princes Highway,Townson Street,Kogarah,Blakehurst,2221.0,-33.997036,151.116333,1,0,0,7,9,0,0,False
56892,34029,Wakehurst Parkway,Wakehurst Parkway,Judith Street,Manly,Seaforth,2092.0,-33.781223,151.237793,0,0,0,6,58,4,2,False
57203,64022,Elizabeth Drive,Elizabeth Drive,Airlie Crescent,Liverpool,Cecil Hills,2171.0,-33.88306,150.851425,0,1,0,11,6,0,2,False
57476,84001,Hume Motorway,Hume Motorway,Brooks Road,Campbelltown,Ingleburn,2565.0,-33.989937,150.8526,1,0,0,2,0,0,5,False
57118,53198,Pacific Highway,Pacific Highway,Bruce Avenue,Ku-Ring-Gai,Killara,2071.0,-33.761337,151.154983,1,1,1,3,30,0,0,False
99990003,7119-PR,Hawkesbury Road,Hawkesbury Road,Great Western Highway,Holroyd,Merrylands,2160.0,-33.817974,150.981827,0,3,1,7,10,0,1,False
55363,02309,O'riordan Street,O'riordan Street,Johnson Street,Sydney,Alexandria,2015.0,-33.907532,151.200974,40,1,1,18,45,10,35,False
56896,36002,Taren Point Road,Taren Point Road,Old Taren Point Road,Sutherland,Taren Point,2229.0,-34.011719,151.126007,0,0,0,1,10,3,0,False
57267,68024,Great Western Highway,Great Western Highway,Rawson Road,Holroyd,Wentworthville,2145.0,-33.814941,150.966827,11,4,1,21,12,2,22,False
56694,19065,Parramatta Road,Parramatta Road,Mathieson Street,Leichhardt,Annandale,2038.0,-33.887417,151.173325,25,4,1,11,35,4,38,False
57356,71180,Old Windsor Road,Old Windsor Road,Balmoral Road,The Hills,Kellyville,2155.0,-33.726486,150.940506,3,0,0,12,1,0,0,False
57298,70001,Great Western Highway,Great Western Highway,Rudders Lane,Blacktown,Eastern Creek,2766.0,-33.791676,150.867493,2,0,0,9,40,20,3,False
55318,02015,City Road,City Road,Barff Road,Sydney,Camperdown,2050.0,-33.888699,151.191421,29,4,1,13,179,24,15,False
56823,28022,Liverpool Road,Liverpool Road,Gould Street,Strathfield,Strathfield South,2136.0,-33.887241,151.073135,6,1,0,16,64,1,3,False
57362,72013,James Ruse Drive,James Ruse Drive,North Rocks Road,The Hills,North Rocks,2151.0,-33.791458,151.001419,9,5,1,14,9,3,40,False
57537,87006,Western Motorway,Western Motorway,Loftus Street,Penrith,Regentville,2745.0,-33.770508,150.667374,0,0,0,0,0,0,0,True
56865,32097,Mowbray Road,Mowbray Road,Walkers Drive,Willoughby,Lane Cove North,2066.0,-33.80106,151.146164,1,1,0,5,30,14,0,False
55388,02381,Western Distributor,Western Distributor,Harris Street,Sydney,Ultimo,2007.0,-33.874912,151.197159,42,3,3,24,66,25,35,False
15286002,7126,Kingsway,Kingsway,Port Hacking Road,Sutherland,Miranda,2228.0,-34.035271,151.113007,1,3,10,13,21,0,5,False
56845,30005,Parramatta Road,Parramatta Road,Cheltenham Road,Canada Bay,Five Dock,2046.0,-33.869789,151.112778,4,2,1,6,49,0,30,False
58870,F3FWY001,Pacific Motorway,Pacific Motorway,Curtin Avenue,Ku-Ring-Gai,North Wahroonga,2076.0,-33.694206,151.121323,1,0,0,4,12,0,0,False
15370001,7139,New South Head Road,New South Head Road,Mclachlan Avenue,Sydney,Darlinghurst,2010.0,-33.876884,151.228683,31,2,4,10,114,51,54,False
56861,32029,Burns Bay Road,Burns Bay Road,Linley Lane,Lane Cove,Lane Cove West,2066.0,-33.821175,151.149902,1,1,0,16,54,5,1,False
57178,60032,Elizabeth Drive,Elizabeth Drive,Reservoir Road,Liverpool,Liverpool,2170.0,-33.914284,150.907883,1,0,2,17,4,0,1,False
57095,51234,Lane Cove Road,Lane Cove Road,Lavarack Street,Ryde,Ryde,2112.0,-33.80019,151.114365,0,1,0,17,12,0,0,False
57327,71043,Summerland Crescent,Summerland Crescent,Everingham Street,Blacktown,Colebee,2761.0,-33.726101,150.844681,3,0,2,4,11,0,8,False
55423,02413,Allen Street,Allen Street,Bulwara Road,Sydney,Pyrmont,2009.0,-33.873695,151.195328,51,3,7,35,45,25,69,False
57073,51005,Lane Cove Road,Lane Cove Road,Curzon Street,Ryde,Ryde,2112.0,-33.809544,151.106827,18,4,5,18,9,1,29,False
15334031,T0345,Galston Road,Galston Road,Clarinda Street,Hornsby,Hornsby,2077.0,-33.689632,151.097748,3,0,2,26,91,0,4,False
57019,49095,James Ruse Drive,James Ruse Drive,Thomas Street,Parramatta,Parramatta,2150.0,-33.814327,151.022492,11,2,0,11,100,22,11,False
58654,980FDSC,Great Western Highway,Great Western Highway,Steele Street,Parramatta,Parramatta,2150.0,-33.818405,150.994781,2,1,1,16,23,4,12,False
57008,48001,Western Motorway,Western Motorway,Mons Street,Auburn,Lidcombe,2141.0,-33.852379,151.057754,3,0,0,20,2,3,6,False
56780,24021,Punchbowl Road,Punchbowl Road,Margaret Street,Strathfield,Belfield,2191.0,-33.899914,151.088058,2,3,0,18,24,0,1,False
56802,25002,Parramatta Road,Parramatta Road,St Davids Road,Ashfield,Ashfield,2131.0,-33.885006,151.136261,4,1,1,23,31,1,11,False
55304,01003,Sydney Harbour Tunnel,Sydney Harbour Tunnel,Cahill Expressway,Sydney,Sydney,2000.0,-33.860836,151.213791,73,2,2,43,135,136,29,False
57049,50233,Silverwater Road,Silverwater Road,Batten Crescent,Parramatta,Ermington,2115.0,-33.807297,151.053345,2,1,0,8,13,0,3,False
56925,40017,Princes Highway,Princes Highway,Carwar Lane,Kogarah,Carss Park,2221.0,-33.981586,151.118088,5,2,1,10,43,1,4,False
56872,33023,Eastern Valley Way,Eastern Valley Way,Sunnyside Crescent,Willoughby,Castlecrag,2068.0,-33.799751,151.210465,3,0,2,16,17,3,2,False
15286008,7153,Olympic Drive,Olympic Drive,Vaughan Street,Auburn,Lidcombe,2141.0,-33.8651123046875,151.041610717773,16,1,0,21,8,0,4,False
56982,44002,Hume Highway,Hume Highway,Woodville Road,Bankstown,Villawood,2163.0,-33.8899269104004,150.973999023438,0,1,0,11,3,0,0,False
57000,44139,Hume Highway,Hume Highway,Knight Street,Fairfield,Lansvale,2166.0,-33.8911323547363,150.965896606445,1,0,0,6,13,1,1,False
56981,44001,Newbridge Road,Newbridge Road,Henry Lawson Drive,Bankstown,Milperra,2214.0,-33.9292488098145,150.979049682617,2,0,0,7,5,0,3,False
56975,43239,Hume Highway,Hume Highway,Stacey Street,Bankstown,Greenacre,2190.0,-33.9051513671875,151.041351318359,0,1,0,18,12,0,1,False
56965,43216,Joseph Street,Joseph Street,Lewis Street,Auburn,Regents Park,2143.0,-33.8876495361328,151.039489746094,0,0,0,9,8,0,0,False
57328,71046,Francis Road,Francis Road,North Parade,Blacktown,Rooty Hill,2766.0,-33.7716369628906,150.836044311523,0,3,0,13,14,1,0,False
57277,68225,Gipps Road,Gipps Road,Long Street,Fairfield,Smithfield,2164.0,-33.8419532775879,150.926940917969,0,0,0,4,32,1,0,False
56908,36188,River Road,River Road,Menai Road,Sutherland,Woronora,2232.0,-34.019458770752,151.049346923828,1,0,0,4,15,6,1,False
56758,23055,General Holmes Drive,General Holmes Drive,Rowley Street,Rockdale,Brighton-Le-Sands,2216.0,-33.954906463623,151.158676147461,0,0,0,17,0,2,2,False
56821,28009,Centenary Drive,Centenary Drive,Hume Highway,Strathfield,Strathfield,2135.0,-33.8840827941895,151.069564819336,4,1,0,7,44,1,4,False
57113,53053,Eastern Arterial Road,Eastern Arterial Road,Nicholson Avenue,Ku-Ring-Gai,St Ives,2075.0,-33.75,151.173416137695,1,0,3,2,9,0,5,False
15286006,7149,Newbridge Road,Newbridge Road,Henry Lawson Drive,Bankstown,Milperra,2214.0,-33.9294929504395,150.980163574219,2,0,0,4,2,0,3,False
